"ARI","ASW","NMI","Method","Task"
0.551617898201964,0.0468159802258015,0.713350689122678,"Palette","RNA"
0.52214743674681,0.0906306281685829,0.724949167628153,"MIDAS","RNA"
0.0889098597933654,-0.215149030089378,0.240259595788207,"Multigrate","RNA"
0.339925989577701,-0.0139302546158433,0.597672459045792,"scVAEIT","RNA"
0.603184351718372,0.227650210261345,0.73141756534305,"Palette","RNA"
0.674061854427901,0.29473888874054,0.77837910989687,"MIDAS","RNA"
0.323223220204641,-0.0888669043779373,0.476197271157933,"Multigrate","RNA"
0.598542890798758,0.267433315515518,0.711225928312198,"scVAEIT","RNA"
0.719499086958463,0.167296752333641,0.813275671750358,"Palette","ADT"
0.732691091030556,0.206442549824715,0.843490480998362,"MIDAS","ADT"
0.348287911534285,-0.007231539580971,0.577462559320453,"Multigrate","ADT"
0.525320749136946,0.122825995087624,0.732615833612644,"scVAEIT","ADT"
0.726611816439253,0.191956490278244,0.794701055486158,"Palette","ADT"
0.70220312975342,0.192897990345955,0.804947578835211,"MIDAS","ADT"
0.234706993598188,-0.140764594078064,0.442354293348537,"Multigrate","ADT"
0.480587433549573,0.141960293054581,0.687590223676186,"scVAEIT","ADT"
